iter	Passed	Remaining
0	56	56914
1	57	28690
2	57	19267
3	58	14521
4	58	11703
5	59	9807
6	60	8529
7	60	7492
8	60	6692
9	61	6069
10	61	5552
11	62	5122
12	62	4747
13	63	4437
14	63	4159
15	63	3913
16	63	3696
17	64	3503
18	64	3331
19	66	3234
20	66	3093
21	66	2964
22	67	2848
23	67	2742
24	67	2642
25	68	2552
26	68	2465
27	69	2397
28	69	2325
29	69	2253
30	70	2194
31	70	2132
32	70	2075
33	71	2021
34	71	1972
35	72	1928
36	72	1885
37	72	1842
38	73	1802
39	73	1766
40	73	1728
41	74	1692
42	74	1658
43	74	1628
44	75	1599
45	75	1570
46	76	1543
47	76	1518
48	76	1493
49	77	1468
50	77	1444
51	77	1421
52	78	1400
53	78	1380
54	79	1359
55	79	1338
56	79	1319
57	80	1299
58	80	1281
59	80	1266
60	81	1249
61	81	1232
62	81	1217
63	82	1203
64	82	1188
65	83	1176
66	83	1163
67	83	1149
68	84	1136
69	84	1124
70	85	1112
71	85	1100
72	85	1089
73	86	1079
74	86	1069
75	87	1059
76	87	1050
77	88	1040
78	88	1030
79	88	1020
80	89	1011
81	89	1002
82	89	991
83	90	982
84	90	974
85	90	965
86	91	956
87	91	948
88	91	940
89	92	932
90	92	924
91	92	916
92	93	909
93	93	903
94	94	896
95	94	889
96	94	882
97	95	875
98	95	868
99	95	861
100	96	854
101	96	848
102	96	841
103	97	836
104	97	831
105	97	826
106	98	820
107	98	814
108	99	809
109	99	804
110	99	798
111	100	793
112	100	789
113	101	784
114	101	779
115	101	774
116	101	769
117	102	764
118	102	759
119	103	755
120	103	751
121	103	746
122	104	741
123	104	737
124	104	733
125	105	728
126	105	724
127	105	719
128	105	715
129	106	711
130	106	707
131	107	704
132	107	701
133	108	698
134	108	694
135	108	691
136	109	688
137	109	685
138	109	681
139	110	677
140	110	673
141	110	668
142	111	665
143	111	663
144	111	659
145	112	656
146	112	653
147	112	650
148	113	647
149	113	645
150	114	642
151	114	639
152	114	636
153	115	633
154	115	630
155	115	627
156	116	624
157	116	622
158	117	619
159	117	616
160	117	613
161	117	610
162	118	608
163	118	605
164	119	603
165	119	600
166	119	597
167	120	595
168	120	592
169	120	590
170	121	588
171	121	586
172	122	584
173	122	581
174	122	579
175	123	577
176	123	574
177	123	572
178	124	570
179	124	568
180	125	565
181	125	563
182	125	561
183	126	559
184	126	557
185	126	555
186	127	553
187	127	551
188	128	549
189	128	548
190	129	546
191	129	544
192	129	543
193	130	541
194	130	539
195	131	537
196	131	535
197	131	534
198	132	533
199	132	531
200	133	529
201	133	527
202	134	526
203	134	524
204	134	523
205	135	521
206	136	521
207	136	520
208	136	518
209	137	516
210	137	514
211	137	512
212	138	510
213	138	508
214	138	507
215	139	505
216	139	503
217	140	503
218	140	501
219	141	500
220	141	498
221	141	496
222	142	495
223	142	493
224	142	491
225	143	490
226	143	488
227	143	487
228	144	485
229	144	483
230	145	484
231	145	482
232	146	481
233	146	479
234	146	477
235	147	476
236	147	474
237	147	472
238	147	471
239	148	469
240	148	467
241	148	466
242	149	464
243	149	463
244	149	461
245	150	460
246	150	458
247	150	457
248	151	455
249	151	454
250	151	453
251	152	452
252	152	450
253	153	449
254	153	448
255	153	447
256	154	446
257	154	445
258	155	444
259	155	443
260	156	442
261	156	441
262	157	440
263	157	438
264	157	437
265	158	437
266	158	436
267	159	434
268	159	433
269	159	432
270	160	431
271	160	430
272	161	429
273	161	428
274	161	427
275	162	426
276	162	425
277	163	423
278	163	422
279	164	421
280	164	420
281	164	419
282	165	418
283	165	417
284	166	416
285	166	415
286	166	414
287	167	413
288	167	412
289	168	411
290	168	410
291	168	409
292	169	408
293	169	407
294	170	406
295	170	405
296	171	404
297	171	403
298	171	402
299	172	401
300	172	401
301	173	400
302	173	398
303	173	398
304	174	397
305	174	396
306	175	395
307	175	394
308	175	393
309	176	392
310	176	391
311	176	390
312	177	389
313	177	388
