iter	Passed	Remaining
0	0	545
1	0	486
2	1	470
3	1	472
4	2	470
5	2	457
6	3	445
7	3	444
8	3	431
9	4	422
10	4	422
11	5	415
12	5	409
13	6	429
14	6	423
15	6	424
16	7	434
17	7	428
18	8	426
19	8	426
20	9	421
21	9	419
22	9	420
23	10	421
24	10	425
25	11	423
26	11	421
27	12	422
28	12	417
29	12	414
30	13	413
31	13	411
32	13	408
33	14	407
34	14	404
35	15	401
36	15	401
37	15	398
38	16	402
39	16	401
40	17	400
41	17	399
42	17	397
43	18	395
44	18	393
45	18	391
46	19	389
47	19	390
48	20	388
49	20	387
50	20	387
51	21	384
52	21	383
53	21	381
54	22	383
55	22	382
56	23	380
57	23	378
58	23	378
59	24	376
60	24	377
61	24	377
62	25	376
63	25	374
64	26	374
65	26	373
66	26	372
67	27	372
68	27	373
69	28	373
70	28	372
71	29	374
72	29	374
73	30	375
74	30	375
75	30	375
76	31	376
77	31	376
78	32	375
79	32	375
80	33	376
81	33	374
82	33	371
83	34	370
84	34	370
85	34	371
86	35	370
87	35	369
88	36	369
89	36	371
90	37	370
91	37	369
92	37	368
93	38	367
94	38	368
95	39	368
96	39	368
97	39	367
98	40	367
99	40	367
100	41	366
101	41	366
102	41	365
103	42	364
104	42	364
105	43	364
106	43	364
107	44	363
108	44	363
109	44	362
110	45	361
111	45	361
112	45	360
113	46	360
114	46	361
115	47	360
116	47	358
117	48	358
118	48	358
119	48	358
120	49	357
121	49	355
122	49	354
123	50	354
124	50	353
125	50	352
126	51	351
127	51	352
128	52	351
129	52	351
130	53	352
131	53	352
132	53	351
133	54	351
134	54	350
135	55	349
136	55	349
137	55	349
138	56	350
139	56	349
140	57	348
141	57	347
142	57	346
143	58	345
144	58	346
145	59	346
146	59	345
147	59	344
148	60	344
149	60	343
150	60	342
151	61	342
152	61	342
153	62	341
154	62	341
155	63	341
156	63	340
157	63	340
158	64	339
159	64	338
160	64	337
161	65	336
162	65	335
163	65	335
164	66	334
165	66	334
166	66	333
167	67	333
168	67	332
169	68	334
170	68	333
171	69	332
172	69	331
173	69	332
174	70	331
175	70	331
176	71	331
177	71	330
178	72	330
179	72	330
180	72	329
181	73	329
182	73	328
183	74	329
184	74	329
185	75	329
186	75	328
187	76	328
188	76	328
189	77	329
190	77	329
191	78	329
192	78	329
193	79	329
194	79	328
195	79	327
196	80	327
197	80	326
198	81	327
199	81	326
200	82	326
201	82	326
202	82	325
203	83	325
204	83	324
205	84	324
206	84	324
207	85	323
208	85	323
209	85	323
210	86	322
211	86	322
212	87	322
213	87	323
214	88	322
215	88	322
216	89	323
217	90	323
218	90	323
219	91	323
220	91	322
221	91	321
222	92	321
223	92	321
224	93	321
225	93	320
226	93	319
227	94	319
228	94	318
229	94	317
230	95	317
231	95	316
232	95	315
233	96	314
234	96	314
235	96	313
236	97	312
237	97	311
238	97	311
239	98	310
240	98	311
241	99	311
242	99	310
243	100	310
244	100	310
245	101	309
246	101	308
247	101	308
248	102	307
249	102	307
250	102	306
251	103	305
252	103	305
253	103	304
254	104	304
255	104	304
256	105	304
257	105	303
258	106	303
259	106	302
260	107	302
261	107	302
262	107	301
263	108	301
264	108	300
265	108	299
266	109	299
267	109	298
268	109	297
269	109	297
270	110	296
271	110	296
272	110	295
273	111	294
274	111	294
275	112	293
276	112	293
277	112	292
278	113	293
279	114	293
280	114	293
281	115	293
282	115	293
283	116	292
284	116	292
285	116	292
286	117	291
287	118	292
288	118	291
289	118	291
290	119	290
291	119	290
292	120	290
293	120	290
294	121	289
295	121	289
296	122	289
297	122	288
298	122	288
299	123	287
300	123	287
301	124	287
302	124	287
303	125	286
304	125	286
305	126	286
306	126	285
307	126	284
308	127	284
309	127	283
310	127	282
311	128	283
312	128	282
313	129	282
314	129	282
315	130	281
316	130	281
317	130	280
318	131	279
319	131	279
320	131	278
321	132	278
322	132	278
323	133	277
324	133	276
325	133	276
326	134	276
327	134	275
328	135	275
329	135	275
330	135	274
331	136	274
332	136	274
333	137	273
334	137	273
335	137	272
336	138	272
337	138	271
338	139	271
339	139	271
340	140	270
341	140	270
342	140	269
343	141	269
344	141	268
345	142	268
346	142	268
347	142	267
348	143	267
349	144	268
350	145	268
351	145	268
352	146	268
353	146	267
354	147	267
355	147	266
356	148	266
357	148	266
358	148	265
359	149	265
360	149	265
361	150	265
362	150	264
363	151	264
364	151	263
365	152	263
366	152	262
367	152	262
368	153	262
369	153	261
370	154	261
371	154	261
372	155	260
373	155	260
374	156	260
375	156	259
376	156	259
377	157	258
378	157	258
379	158	258
380	158	257
381	159	257
382	159	257
383	160	256
384	160	256
385	160	256
386	161	255
387	161	255
388	162	255
389	162	254
390	163	254
391	163	253
392	164	253
393	164	252
394	164	252
395	165	252
396	165	251
397	166	251
398	166	250
399	166	250
400	167	249
401	167	249
402	167	248
403	168	248
404	168	247
405	168	246
406	169	246
407	169	246
408	170	246
409	170	245
410	171	245
411	171	244
412	172	244
413	172	244
414	172	243
415	173	243
416	173	242
417	174	242
418	174	242
419	175	241
420	175	241
421	175	240
422	176	240
423	176	239
424	176	239
425	177	238
426	177	238
427	177	237
428	178	237
429	178	236
430	178	236
431	179	235
432	179	234
433	179	234
434	180	234
435	180	233
436	181	233
437	181	232
438	181	232
439	182	231
440	182	231
441	182	230
442	183	230
443	183	229
444	183	229
445	184	228
446	184	228
447	184	227
448	184	226
449	185	226
450	185	225
451	185	225
452	186	224
453	186	224
454	186	223
455	187	223
456	187	222
457	187	222
458	188	221
459	188	221
460	188	220
461	189	220
462	189	220
463	190	219
464	190	219
465	190	218
466	191	218
467	191	217
468	192	217
469	192	216
470	192	216
471	193	215
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	195	212
479	195	211
480	195	211
481	195	210
482	196	210
483	196	209
484	196	208
485	197	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	198	204
493	199	204
494	199	203
495	199	203
496	200	202
497	200	201
498	200	201
499	201	201
500	201	200
501	201	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	204	196
509	204	196
510	204	195
511	205	195
512	205	194
513	205	194
514	206	194
515	206	193
516	206	193
517	206	192
518	207	192
519	207	191
520	207	191
521	208	190
522	208	190
523	208	189
524	208	189
525	209	188
526	209	187
527	209	187
528	210	187
529	210	186
530	210	186
531	210	185
532	211	185
533	211	184
534	211	184
535	212	183
536	212	183
537	212	182
538	213	182
539	213	181
540	213	181
541	213	180
542	214	180
543	214	179
544	214	179
545	215	178
546	215	178
547	215	177
548	215	177
549	216	176
550	216	176
551	216	175
552	216	175
553	217	174
554	217	174
555	217	173
556	218	173
557	218	173
558	218	172
559	219	172
560	219	171
561	220	171
562	220	171
563	220	170
564	221	170
565	221	169
566	221	169
567	222	168
568	222	168
569	222	168
570	223	167
571	223	167
572	223	166
573	224	166
574	224	165
575	224	165
576	225	165
577	225	164
578	225	164
579	225	163
580	226	163
581	226	162
582	226	162
583	227	161
584	227	161
585	227	160
586	227	160
587	228	159
588	228	159
589	228	159
590	229	158
591	229	158
592	230	157
593	230	157
594	230	157
595	230	156
596	231	156
597	231	155
598	231	155
599	232	154
600	232	154
601	232	153
602	232	153
603	233	152
604	233	152
605	234	152
606	234	151
607	234	151
608	235	151
609	235	150
610	235	150
611	236	149
612	236	149
613	236	148
614	236	148
615	237	147
616	237	147
617	237	146
618	238	146
619	238	146
620	238	145
621	238	145
622	239	144
623	239	144
624	239	143
625	240	143
626	240	142
627	240	142
628	240	142
629	241	141
630	241	141
631	241	140
632	241	140
633	242	139
634	242	139
635	242	138
636	242	138
637	243	137
638	243	137
639	243	137
640	243	136
641	244	136
642	244	135
643	244	135
644	245	134
645	245	134
646	245	133
647	245	133
648	246	133
649	246	132
650	246	132
651	246	131
652	247	131
653	247	130
654	247	130
655	248	130
656	248	129
657	248	129
658	248	128
659	249	128
660	249	127
661	249	127
662	250	127
663	250	126
664	250	126
665	250	125
666	251	125
667	251	124
668	251	124
669	252	124
670	252	123
671	252	123
672	252	122
673	253	122
674	253	121
675	253	121
676	253	121
677	254	120
678	254	120
679	254	119
680	254	119
681	255	118
682	255	118
683	255	118
684	256	117
685	256	117
686	256	116
687	256	116
688	257	116
689	257	115
690	257	115
691	257	114
692	258	114
693	258	113
694	258	113
695	258	113
696	259	112
697	259	112
698	259	111
699	260	111
700	260	111
701	260	110
702	261	110
703	261	109
704	261	109
705	261	109
706	262	108
707	262	108
708	262	107
709	263	107
710	263	107
711	263	106
712	263	106
713	264	105
714	264	105
715	264	104
716	264	104
717	265	104
718	265	103
719	266	103
720	266	103
721	266	102
722	266	102
723	267	101
724	267	101
725	267	101
726	268	100
727	268	100
728	268	99
729	269	99
730	269	99
731	269	98
732	269	98
733	270	97
734	270	97
735	270	97
736	271	96
737	271	96
738	271	95
739	271	95
740	272	95
741	272	94
742	272	94
743	273	93
744	273	93
745	273	93
746	273	92
747	274	92
748	274	91
749	274	91
750	275	91
751	275	90
752	275	90
753	275	90
754	276	89
755	276	89
756	276	88
757	277	88
758	277	88
759	277	87
760	277	87
761	278	86
762	278	86
763	278	86
764	278	85
765	279	85
766	279	84
767	279	84
768	280	84
769	280	83
770	280	83
771	281	83
772	281	82
773	281	82
774	282	81
775	282	81
776	282	81
777	282	80
778	283	80
779	283	79
780	283	79
781	283	79
782	284	78
783	284	78
